angDist,_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,hip,tycho2_id,solution_id,source_id,random_index,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
0.038884,287.12088,44.07299,8153954,6055,4.37,1.124,4.755,0.409,,888.5,0.396,0.2645,0,287.12088,44.07299,287.1208930000,44.0729954248,0.015,0.011,90,287.1208672734,44.0729468219,,3132-2028-1,1635378410781933568,2106026493355281920,1409423,2015.0,0.147,0.234,1.20,0.27,-4.436,0.982,-11.665,0.700,0.220,0.361,-0.526,-0.240,0.438,-0.477,-0.542,-0.811,-0.267,0.071,117,117,117,112,0,5,,0.48,2.128e+02,1,4.76,4.218,2.652e-05,5,16,0,0.287,0.418,0.101,0.233,-84.17087600,70.40440000,-1.12381290,23.60756500,134,3.01972e+05,8.36458e+01,11.825,NOT_AVAILABLE,74.8560518845,15.6438809054,300.9088141476,65.6851865095
0.082936,288.1376,44.0399,8156081,6284,4.26,1.1988,6.773,0.089,,430.43,0.3,0.2564,0,288.1376,44.0399,288.1376304750,44.0398928717,0.018,0.011,90,288.1376247645,44.0398940803,,3133-568-1,1635378410781933568,2103117529185565440,721297,2015.0,0.165,0.270,2.64,0.33,-0.985,1.219,0.290,0.744,0.330,0.400,-0.516,-0.248,0.640,-0.652,-0.375,-0.829,-0.230,-0.011,110,110,110,102,0,8,,0.60,2.847e+02,1,5.91,2.723,3.191e-05,5,16,0,0.352,0.301,0.146,0.139,-57.70105000,72.61319000,10.26166250,14.78023300,126,2.89338e+05,6.62445e+01,11.871,NOT_AVAILABLE,75.1223277350,14.9590148193,302.5753404149,65.4407866167
0.040225,291.38895,44.02138,8164622,6477,4.14,1.2677,4.465,0.696,,1988.29,0.297,0.2515,0,291.38895,44.02138,291.3889654600,44.0213788778,0.018,0.012,90,291.3889077487,44.0213248825,,3146-1101-1,1635378410781933568,2126153672177818496,228349,2015.0,0.159,0.253,2.04,0.31,-9.960,1.192,-12.959,0.776,0.432,0.341,-0.484,-0.236,0.522,-0.501,-0.530,-0.863,0.072,-0.208,105,105,105,97,0,8,,0.50,1.161e+02,1,4.98,3.881,2.785e-05,5,17,0,0.204,0.147,0.346,0.114,-91.78447000,80.02734000,40.86924400,11.49978350,140,2.36752e+05,8.29957e+01,12.089,NOT_AVAILABLE,76.1025315169,12.8239322223,307.8169718394,64.6776786468
0.077149,294.71762,44.07721,8174245,6114,4.16,1.1427,1.486,0.009,,1142.14,0.945,0.5547,0,294.71762,44.07721,294.7175905360,44.0772066505,0.016,0.014,90,294.7175950493,44.0771122032,,3147-1269-1,1635378410781933568,2078313440218766080,1110331,2015.0,0.180,0.230,2.35,0.28,0.778,1.039,-22.667,0.913,0.488,0.471,-0.642,-0.360,0.610,-0.619,-0.557,-0.819,-0.272,0.403,89,89,88,87,1,2,,0.46,3.105e+02,1,4.58,4.377,2.494e-05,5,12,0,0.254,0.218,0.037,0.348,-131.05988000,-66.88702000,-49.17299300,6.83529000,102,2.31722e+06,8.27613e+03,9.612,NOT_AVAILABLE,77.2449656662,10.7083889619,313.0095347026,63.8713060123
0.068246,294.85568,44.09779,8174654,5729,4.26,1.0275,4.711,0.122,,12107.55,0.863,0.5034,0,294.85568,44.09779,294.8557044680,44.0977971138,0.014,0.013,90,294.8557652029,44.0978725577,,3147-598-1,1635378410781933568,2078315914119926656,1852809,2015.0,0.141,0.210,4.26,0.27,10.468,0.961,18.107,0.856,-0.011,0.053,-0.532,-0.008,0.856,-0.638,-0.803,-0.774,-0.706,0.518,106,106,105,102,1,4,,0.29,1.359e+02,1,3.01,11.023,2.870e-05,5,15,0,0.298,0.103,0.283,0.359,-132.28963000,60.34811800,-2.90354200,-0.82898873,118,3.70823e+05,5.77946e+02,11.602,NOT_AVAILABLE,77.3104948134,10.6300716658,313.2358919227,63.8529521324
0.018462,294.95901,44.04638,8174981,5824,4.39,1.0546,18.585,0.161,,576.41,0.834,0.502,0,294.95901,44.04638,294.9590071480,44.0463847009,0.036,0.011,90,294.9589389181,44.0463235778,,3147-1797-1,1635378410781933568,2078314574090133504,858923,2015.0,0.125,0.279,2.95,0.40,-11.770,2.414,-14.670,0.739,0.705,0.735,-0.728,-0.588,0.942,-0.937,-0.603,-0.966,-0.594,0.560,87,87,86,84,1,3,,0.32,1.390e+02,1,3.24,8.614,2.292e-05,5,12,1,0.604,0.105,0.217,0.261,-85.44517500,89.80920000,20.72169000,1.00483830,103,1.00961e+06,6.31843e+02,10.514,NOT_AVAILABLE,77.2991056334,10.5404796527,313.3469507888,63.7771208354
0.039272,296.24429,44.09777,8179177,5946,4.46,1.0906,11.682,0.079,,907.3,0.433,0.3228,0,296.24429,44.09777,296.2443027930,44.0977758821,0.022,0.022,90,296.2442637301,44.0978266423,,3148-2063-1,1635378410781933568,2079579802734698752,184107,2015.0,0.265,0.388,4.08,0.46,-6.733,1.495,12.182,1.472,-0.047,0.023,-0.554,0.026,0.840,-0.595,-0.802,-0.744,-0.640,0.487,71,71,70,64,1,7,,0.59,2.063e+02,1,5.82,2.812,4.423e-05,5,12,0,0.303,0.048,0.204,0.448,-168.09323000,83.17262000,-6.45867820,0.77401143,97,5.04581e+05,8.14584e+02,11.267,NOT_AVAILABLE,77.7875900709,9.7504120639,315.3085607005,63.4673548096
0.076877,296.9516,44.05114,8181646,5315,4.7,0.9159,12.944,0.071,,6333.95,1.081,0.6232,0,296.9516,44.05114,296.9515910030,44.0511196478,0.018,0.013,90,296.9515159975,44.0510461931,,3148-119-1,1635378410781933568,2078910749910437888,1834070,2015.0,0.142,0.236,3.47,0.30,-12.938,1.173,-17.629,0.879,0.125,0.229,-0.596,-0.074,0.880,-0.665,-0.698,-0.798,-0.605,0.468,89,89,89,81,0,8,,0.35,9.245e+01,1,3.49,7.974,2.910e-05,5,13,0,0.350,0.072,0.271,0.496,-113.01350400,48.18303300,11.38139300,-2.47225550,106,2.88340e+05,1.45330e+02,11.875,NOT_AVAILABLE,77.9939486188,9.2824921584,316.3067348093,63.2227042191
0.140007,281.00464,44.15864,8210709,5789,4.04,1.0445,17.42,3.33,,2378.52,0.754,0.4873,0,281.00464,44.15864,281.0046044060,44.1586106669,0.032,0.026,-0,281.0046026148,44.1584797771,,3130-1444-1,1635378410781933568,2117336550995751680,1208408,2015.0,0.535,0.664,3.51,0.69,-0.308,1.717,-31.414,2.109,-0.352,-0.360,-0.521,0.301,0.771,-0.276,-0.883,-0.387,-0.823,0.353,101,101,101,92,0,9,,1.49,4.232e+02,1,14.45,0.446,2.749e-05,5,18,0,0.171,0.115,0.314,0.250,-154.73293000,36.35907000,-16.08751100,-32.32999000,125,2.50071e+05,7.02289e+01,12.030,NOT_AVAILABLE,73.2933848581,19.7749012158,290.3611270277,66.8215833646
0.128567,282.42535,44.11706,8213064,5733,4.29,1.0286,23.422,0.466,,761.99,0.392,0.2591,0,282.42535,44.11706,282.4253107430,44.1170380657,0.017,0.011,90,282.4252425566,44.1168444376,,3130-1462-1,1635378410781933568,2105372936773176832,1279337,2015.0,0.167,0.264,3.19,0.33,-11.749,1.108,-46.471,0.722,0.185,0.149,-0.476,-0.089,0.753,-0.631,-0.651,-0.795,-0.446,0.191,125,125,125,115,0,10,,0.59,2.066e+02,1,5.81,2.837,2.899e-05,5,20,0,0.127,0.135,0.157,0.097,-92.26906000,65.60815000,8.00836700,-16.54945800,149,3.18428e+05,6.79755e+01,11.767,NOT_AVAILABLE,73.6121268373,18.7998738918,292.8628029794,66.5726773711
0.055847,284.34863,44.11799,8216936,6227,4.46,1.1796,3.098,0.274,,443.94,0.526,0.3628,0,284.34863,44.11799,284.3486263240,44.1180052868,0.015,0.011,90,284.3486653570,44.1180524416,,3131-2143-1,1635378410781933568,2106613701284431744,696929,2015.0,0.128,0.212,2.22,0.26,6.725,0.997,11.317,0.766,0.163,0.222,-0.418,-0.222,0.729,-0.668,-0.384,-0.788,-0.409,0.184,89,89,89,87,0,2,,0.34,1.554e+02,1,3.43,7.301,3.194e-05,5,13,0,0.413,0.276,0.275,0.080,-76.24388000,66.09453600,-5.25325730,-5.24939300,96,1.15066e+06,1.32709e+03,10.372,NOT_AVAILABLE,74.1226532807,17.5070685088,296.2223415923,66.2560347323
0.088726,288.1377,44.11339,8223872,5512,4.59,0.9679,20.873,2.624,,2228.05,0.445,0.3262,0,288.1377,44.11339,288.1376703850,44.1134024632,0.016,0.010,90,288.1375517890,44.1133884975,,3133-2377-1,1635378410781933568,2103118182020590464,1917800,2015.0,0.158,0.243,4.34,0.31,-20.435,1.040,-3.352,0.664,0.319,0.589,-0.663,-0.283,0.470,-0.512,-0.541,-0.872,-0.249,0.103,95,95,95,88,0,7,,0.45,2.254e+02,1,4.52,4.652,3.495e-05,5,16,0,0.219,0.392,0.111,0.199,-62.59866000,71.85201000,-3.00201100,26.13860700,120,4.35023e+05,4.87850e+02,11.428,NOT_AVAILABLE,75.1920970296,14.9883173406,302.6280422547,65.5109500303
0.085689,292.61823,44.15864,8235498,5774,3.73,1.0403,17.726,3.453,,1103.25,0.571,0.4089,0,292.61823,44.15864,292.6181982620,44.1586330634,0.014,0.010,90,292.6181610912,44.1586459618,,3147-1307-1,1635378410781933568,2126345949274828672,443063,2015.0,0.126,0.207,5.39,0.25,-6.400,0.912,3.096,0.659,0.297,0.414,-0.601,-0.083,0.629,-0.512,-0.612,-0.844,-0.131,-0.038,96,96,93,95,3,1,,0.26,1.114e+02,1,2.74,12.196,3.057e-05,5,17,0,0.304,0.161,0.211,0.176,-118.60245000,72.66667000,29.90747600,-7.14129600,132,8.78933e+05,6.26574e+02,10.665,NOT_AVAILABLE,76.6234732321,12.0893444399,309.8576389661,64.4998146853
0.098224,292.89029,44.14671,8236265,6419,4.33,1.2464,2.985,0.051,,1162.41,0.478,0.3648,0,292.89029,44.14671,292.8902722840,44.1466858579,0.024,0.022,-0,292.8902985006,44.1466817594,,3147-672-1,1635378410781933568,2126296711769748352,590237,2015.0,0.189,0.383,1.54,0.41,4.515,1.460,-0.984,1.591,-0.118,0.041,-0.488,0.088,0.831,-0.577,-0.812,-0.777,-0.685,0.472,71,71,70,67,1,4,,0.51,1.602e+02,1,5.07,3.690,3.266e-05,5,13,0,0.446,0.272,0.320,0.330,-117.65656000,72.89943000,4.18607200,-6.01610500,96,2.51796e+05,1.05290e+02,12.022,NOT_AVAILABLE,76.7010156024,11.9090262713,310.2707926319,64.4189634317
0.073479,294.26489,44.13773,8240242,6379,4.21,1.232,4.838,0.321,,1174.99,0.368,0.3054,0,294.26489,44.13773,294.2649181280,44.1377330169,0.017,0.010,90,294.2648551669,44.1376822489,,3147-628-1,1635378410781933568,2078352129281517440,1265621,2015.0,0.171,0.246,1.95,0.33,-10.844,1.155,-12.184,0.679,0.500,0.539,-0.673,-0.194,0.734,-0.688,-0.432,-0.877,-0.145,0.008,133,133,133,122,0,11,,0.57,1.801e+02,1,5.65,2.994,3.028e-05,5,19,0,0.170,0.152,0.155,0.190,-76.27766000,81.04047400,32.25946800,4.59282540,159,3.04964e+05,7.36892e+01,11.814,NOT_AVAILABLE,77.1472558670,11.0248380103,312.3750638128,64.0495524074
0.089643,294.69089,44.16685,8241578,5795,4.01,1.0463,21.809,0.534,,393.57,0.39,0.2617,0,294.69089,44.16685,294.6909217210,44.1668601152,0.019,0.017,90,294.6909865911,44.1668678912,,3147-1275-1,1635378410781933568,2078326050242742912,2029744,2015.0,0.159,0.257,2.04,0.31,11.168,1.299,1.866,1.125,0.548,0.587,-0.717,-0.422,0.721,-0.718,-0.671,-0.880,-0.409,0.508,104,104,104,96,0,8,,0.47,1.135e+02,1,4.69,4.380,2.446e-05,5,15,0,0.380,0.279,0.096,0.317,-117.99512000,-81.90589000,26.90417500,3.93931150,118,2.22424e+05,5.09691e+01,12.157,NOT_AVAILABLE,77.3169637759,10.7668453282,313.0465022140,63.9616207242
0.082935,294.87033,44.12275,8242135,5728,4.19,1.0272,5.79,0.007,,10779.38,1.289,0.6961,0,294.87033,44.12275,294.8703337650,44.1227728784,0.016,0.013,90,294.8703946577,44.1228472089,,3147-704-1,1635378410781933568,2078316051558879616,1841576,2015.0,0.126,0.193,4.40,0.25,10.491,1.094,17.839,0.884,0.551,0.616,-0.728,-0.553,0.700,-0.720,-0.720,-0.903,-0.583,0.600,106,106,105,101,1,5,,0.28,1.080e+02,1,2.85,12.313,3.009e-05,5,16,0,0.442,0.321,0.111,0.246,-107.46934000,88.42815000,-2.00715040,12.66207200,129,3.57166e+05,2.58050e+02,11.643,NOT_AVAILABLE,77.3379630566,10.6323611525,313.2794741965,63.8720691099
0.171094,295.86703,44.18908,8245295,5557,4.13,0.9801,21.629,4.265,,2586.25,0.662,0.4426,0,295.86703,44.18908,295.8670823530,44.1890508532,0.015,0.012,90,295.8673813569,44.1889830046,,3148-1648-1,1635378410781933568,2079595505135124224,755154,2015.0,0.128,0.198,6.66,0.24,51.456,1.027,-16.284,0.818,0.465,0.587,-0.730,-0.427,0.768,-0.717,-0.803,-0.892,-0.594,0.563,96,96,94,95,2,1,,0.20,6.761e+01,1,2.19,19.516,2.537e-05,5,13,0,0.424,0.160,0.185,0.175,-137.31982000,68.08412000,-6.86931700,-0.00193023,102,9.40503e+05,5.77580e+02,10.591,NOT_AVAILABLE,77.7383589618,10.0316602097,314.8301879106,63.6573330395
0.237370,296.55545,44.17417,8247608,6246,4.19,1.186,1.032,0.214,,22817.49,0.935,0.5597,0,296.55545,44.17417,296.5555417890,44.1741663199,0.029,0.027,83,296.5555717458,44.1741522403,,3148-1578-1,1635378410781933568,2078833371782554496,324451,2015.0,0.325,0.497,1.96,0.55,5.157,1.777,-3.379,1.962,-0.166,-0.145,-0.469,0.121,0.798,-0.540,-0.855,-0.706,-0.676,0.460,87,87,87,82,0,5,,0.85,3.308e+02,1,8.33,1.365,2.678e-05,5,11,0,0.371,0.154,0.177,0.349,-147.78383000,74.81504000,-7.12771600,5.08121200,96,3.50490e+05,8.27820e+02,11.663,NOT_AVAILABLE,77.9641485302,9.5908819821,315.8353294138,63.4490158267
0.018630,297.00388,44.13744,8249189,6117,4.21,1.1436,3.211,0.008,,6078.72,1.599,0.7741,0,297.00388,44.13744,297.0038867510,44.1374381815,0.018,0.018,90,297.0038549830,44.1373668917,,3148-454-1,1635378410781933568,2078911471462408064,2006791,2015.0,0.467,0.584,2.61,0.70,-5.472,1.199,-17.110,1.181,-0.365,-0.542,-0.261,0.118,0.657,-0.203,-0.324,-0.352,-0.232,0.171,70,70,70,68,0,2,,1.44,1.193e+03,1,14.02,0.467,1.932e-05,5,11,1,0.228,0.280,0.241,0.497,-132.52724000,-87.95689400,-0.12099951,5.42875300,87,1.95187e+06,8.49201e+02,9.799,NOT_AVAILABLE,78.0889140691,9.2914743767,316.4601663876,63.2867090666
0.028044,297.2081,44.13684,8250025,5945,4.17,1.0903,9.215,0.029,SM2,2099.69,0.622,0.4241,0,297.2081,44.13684,297.2080981060,44.1368476706,0.024,0.015,90,297.2081038062,44.1368731297,,3148-212-1,1635378410781933568,2078915079237468160,1631998,2015.0,0.165,0.263,2.05,0.33,0.982,1.628,6.110,1.002,0.528,0.509,-0.664,-0.460,0.783,-0.769,-0.750,-0.897,-0.517,0.504,89,89,88,79,1,10,,0.43,1.282e+02,1,4.27,5.252,2.559e-05,5,12,0,0.446,0.081,0.044,0.306,-120.97848500,81.08646400,37.70236200,7.62598900,97,2.37044e+05,3.15582e+02,12.088,NOT_AVAILABLE,78.1606595992,9.1631305636,316.7578844635,63.2272174171
0.098671,299.3576,44.11376,8258596,6209,4.13,1.1736,1.03,0.003,,650.82,0.911,0.5453,0,299.3576,44.11376,299.3576328320,44.1137739856,0.021,0.013,90,299.3576608142,44.1137558594,,3149-836-1,1635378410781933568,2079019807719015680,580951,2015.0,0.181,0.219,1.14,0.32,4.822,1.396,-4.350,0.836,0.566,0.594,-0.726,-0.441,0.842,-0.789,-0.613,-0.888,-0.504,0.521,80,80,79,78,1,2,,0.39,1.966e+02,1,3.90,6.284,4.293e-05,5,13,0,0.261,0.113,0.085,0.456,-103.35082000,-6.03774260,7.34355550,5.81401440,106,4.33889e+05,7.21055e+02,11.431,NOT_AVAILABLE,78.9166086737,7.8132255247,319.8207486780,62.5678630783
0.033023,299.98288,44.17601,8260967,6489,3.95,1.2721,2.837,0.003,,579.12,0.581,0.4468,0,299.98288,44.17601,299.9828681150,44.1760133892,0.018,0.013,90,299.9828791199,44.1760259948,,3149-1003-1,1635378410781933568,2076102700289761024,230173,2015.0,0.139,0.216,2.00,0.27,1.894,1.223,3.025,0.871,0.511,0.596,-0.735,-0.441,0.764,-0.730,-0.748,-0.892,-0.541,0.525,108,108,108,102,0,6,,0.32,1.582e+02,1,3.28,8.930,2.643e-05,5,16,0,0.407,0.206,0.106,0.313,-124.97048000,83.61391000,-0.87393826,9.47517200,126,3.59207e+05,1.66134e+02,11.636,NOT_AVAILABLE,79.2019250463,7.4594022796,320.7571259477,62.4328709100
0.115610,300.53122,44.14329,8262795,5969,3.92,1.0975,10.619,0.036,,636.4,0.673,0.475,0,300.53122,44.14329,300.5312033950,44.1432601786,0.020,0.017,90,300.5311796877,44.1432774601,,3162-568-1,1635378410781933568,2076073975548508288,924016,2015.0,0.161,0.217,3.67,0.31,-4.083,1.356,4.148,1.151,0.553,0.727,-0.793,-0.539,0.590,-0.612,-0.422,-0.908,-0.510,0.600,88,88,88,88,0,0,,0.38,2.007e+02,1,3.82,5.924,2.253e-05,5,14,1,0.432,0.539,0.160,0.383,-84.42623000,-82.84845000,8.09669600,16.73561500,112,9.05438e+05,5.04297e+02,10.633,NOT_AVAILABLE,79.3785469473,7.1057026582,321.4908401862,62.2335372173
