# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Wed Sep 14 21:20:54 CEST 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: Gaia's G, G_BP and G_RP (Vegamags)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01520	Y = 0.27554	[M/H] = 0.015	eta_R = 0.200	Age = 	1.0000e+09 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    G       G_BP    G_RP	int_IMF	stage
	0.015200	9.0000	1.14999998	1.1499	0.2183	3.7952	4.4131	4.224	4.103	4.368	3.688	3.17617631	1
	0.015200	9.0000	1.16191423	1.1618	0.2415	3.7976	4.4040	4.166	4.046	4.306	3.637	3.17856479	1
	0.015200	9.0000	1.20000005	1.1999	0.3143	3.8050	4.3748	3.984	3.865	4.110	3.474	3.18585706	1
	0.015200	9.0000	1.24121189	1.2411	0.3897	3.8126	4.3445	3.796	3.677	3.908	3.304	3.19320512	1
	0.015200	9.0000	1.25000000	1.2499	0.4055	3.8142	4.3381	3.756	3.638	3.865	3.268	3.19470429	1
	0.015200	9.0000	1.29999995	1.2999	0.4918	3.8228	4.3035	3.541	3.423	3.635	3.074	3.20280719	1
	0.015200	9.0000	1.35000002	1.3499	0.5741	3.8315	4.2720	3.335	3.219	3.416	2.890	3.21023273	1
	0.015200	9.0000	1.39999998	1.3999	0.6525	3.8402	4.2445	3.139	3.025	3.207	2.718	3.21705914	1
	0.015200	9.0000	1.42287099	1.4227	0.6872	3.8446	4.2345	3.052	2.940	3.114	2.643	3.22000074	1
	0.015200	9.0000	1.45000005	1.4499	0.7278	3.8497	4.2221	2.950	2.840	3.006	2.556	3.22335362	1
	0.015200	9.0000	1.49620962	1.4961	0.7951	3.8587	4.2048	2.782	2.675	2.826	2.413	3.22874832	1
	0.015200	9.0000	1.50000000	1.4999	0.8005	3.8594	4.2033	2.769	2.661	2.812	2.402	3.22917390	1
	0.015200	9.0000	1.54999995	1.5499	0.8699	3.8683	4.1836	2.595	2.492	2.628	2.255	3.23456979	1
	0.015200	9.0000	1.55019462	1.5501	0.8702	3.8683	4.1836	2.595	2.491	2.627	2.255	3.23459005	1
	0.015200	9.0000	1.59547055	1.5954	0.9311	3.8754	4.1633	2.442	2.343	2.468	2.124	3.23914456	1
	0.015200	9.0000	1.60000002	1.5999	0.9371	3.8761	4.1612	2.427	2.328	2.452	2.111	3.23958373	1
	0.015200	9.0000	1.60013282	1.6001	0.9373	3.8761	4.1611	2.427	2.327	2.451	2.111	3.23959661	1
	0.015200	9.0000	1.63673258	1.6367	0.9853	3.8807	4.1415	2.307	2.209	2.326	2.006	3.24303913	1
	0.015200	9.0000	1.64999998	1.6500	1.0027	3.8822	4.1335	2.263	2.167	2.281	1.967	3.24424219	1
	0.015200	9.0000	1.66570282	1.6657	1.0232	3.8839	4.1240	2.212	2.117	2.228	1.922	3.24563670	1
	0.015200	9.0000	1.69577193	1.6958	1.0622	3.8868	4.1044	2.115	2.020	2.127	1.834	3.24822140	1
	0.015200	9.0000	1.70000005	1.7000	1.0677	3.8872	4.1016	2.101	2.007	2.113	1.821	3.24857616	1
	0.015200	9.0000	1.71647155	1.7165	1.0889	3.8887	4.0904	2.048	1.955	2.058	1.773	3.24993825	1
	0.015200	9.0000	1.75000000	1.7500	1.1319	3.8912	4.0657	1.940	1.848	1.947	1.674	3.25261688	1
	0.015200	9.0000	1.77145648	1.7715	1.1593	3.8925	4.0489	1.872	1.780	1.877	1.610	3.25426793	1
	0.015200	9.0000	1.79999995	1.8000	1.1958	3.8936	4.0237	1.781	1.689	1.784	1.523	3.25639176	1
	0.015200	9.0000	1.81811321	1.8181	1.2189	3.8939	4.0063	1.723	1.631	1.724	1.466	3.25769854	1
	0.015200	9.0000	1.84361970	1.8436	1.2515	3.8939	3.9799	1.641	1.549	1.641	1.385	3.25948691	1
	0.015200	9.0000	1.85000002	1.8500	1.2596	3.8938	3.9728	1.621	1.528	1.621	1.364	3.25992513	1
	0.015200	9.0000	1.87225974	1.8723	1.2877	3.8932	3.9476	1.551	1.456	1.549	1.292	3.26142621	1
	0.015200	9.0000	1.89999998	1.9000	1.3224	3.8916	3.9128	1.464	1.367	1.461	1.199	3.26323819	1
	0.015200	9.0000	1.91898119	1.9190	1.3460	3.8900	3.8871	1.405	1.305	1.402	1.134	3.26444221	1
	0.015200	9.0000	1.94889581	1.9489	1.3829	3.8857	3.8396	1.313	1.208	1.310	1.027	3.26628351	1
	0.015200	9.0000	1.95000005	1.9500	1.3843	3.8855	3.8377	1.309	1.204	1.307	1.023	3.26635003	1
	0.015200	9.0000	1.96037149	1.9604	1.3969	3.8837	3.8203	1.278	1.170	1.276	0.985	3.26697183	1
	0.015200	9.0000	1.98626208	1.9863	1.4277	3.8781	3.7727	1.201	1.088	1.201	0.889	3.26849055	1
	0.015200	9.0000	2.00000000	2.0000	1.4437	3.8740	3.7434	1.161	1.044	1.164	0.836	3.26927757	1
	0.015200	9.0000	2.01166701	2.0117	1.4574	3.8706	3.7187	1.126	1.007	1.131	0.790	3.26993537	1
	0.015200	9.0000	2.03318334	2.0332	1.4820	3.8625	3.6661	1.065	0.940	1.076	0.703	3.27112389	1
	0.015200	9.0000	2.04999995	2.0500	1.5008	3.8554	3.6224	1.018	0.889	1.037	0.634	3.27203131	1
	0.015200	9.0000	2.05478168	2.0548	1.5061	3.8533	3.6097	1.005	0.875	1.026	0.615	3.27228594	1
	0.015200	9.0000	2.07025433	2.0703	1.5230	3.8454	3.5645	0.962	0.829	0.993	0.550	3.27309990	1
	0.015200	9.0000	2.08415246	2.0842	1.5392	3.8377	3.5206	0.922	0.786	0.963	0.488	3.27381825	1
	0.015200	9.0000	2.09999990	2.1000	1.5629	3.8319	3.4768	0.863	0.725	0.912	0.413	3.27462268	1
	0.015200	9.0000	2.10108829	2.1011	1.5648	3.8317	3.4743	0.858	0.720	0.908	0.408	3.27467752	1
	0.015200	9.0000	2.10854244	2.1085	1.5919	3.8391	3.4785	0.790	0.653	0.827	0.360	3.27505016	1
	0.015200	9.0000	2.11098313	2.1110	1.6127	3.8491	3.4983	0.738	0.604	0.760	0.335	3.27517152	1
	0.015200	9.0000	2.11205649	2.1121	1.6317	3.8592	3.5197	0.691	0.559	0.699	0.317	3.27522492	1
	0.015200	9.0000	2.11264038	2.1126	1.6512	3.8692	3.5403	0.642	0.515	0.639	0.300	3.27525377	1
	0.015200	9.0000	2.11298394	2.1130	1.6724	3.8790	3.5587	0.589	0.469	0.576	0.280	3.27527070	1
	0.015200	9.0000	2.11319304	2.1132	1.6947	3.8883	3.5733	0.533	0.421	0.513	0.257	3.27528119	1
	0.015200	9.0000	2.11334801	2.1133	1.7181	3.8972	3.5857	0.475	0.372	0.450	0.232	3.27528882	1
	0.015200	9.0000	2.11341977	2.1134	1.7243	3.9003	3.5918	0.459	0.360	0.433	0.229	3.27529240	2
	0.015200	9.0000	2.11349964	2.1135	1.6931	3.8941	3.5982	0.537	0.431	0.515	0.283	3.27529621	2
	0.015200	9.0000	2.11355543	2.1136	1.6663	3.8857	3.5916	0.604	0.490	0.587	0.319	3.27529907	2
	0.015200	9.0000	2.11362600	2.1136	1.6495	3.8741	3.5619	0.646	0.523	0.639	0.320	3.27530265	2
	0.015200	9.0000	2.11370516	2.1137	1.6509	3.8627	3.5149	0.643	0.512	0.646	0.280	3.27530646	2
	0.015200	9.0000	2.11379981	2.1138	1.6598	3.8512	3.4600	0.621	0.485	0.637	0.223	3.27531123	2
	0.015200	9.0000	2.11390924	2.1139	1.6667	3.8396	3.4070	0.603	0.464	0.636	0.174	3.27531648	2
	0.015200	9.0000	2.11403227	2.1140	1.6698	3.8282	3.3582	0.596	0.455	0.646	0.135	3.27532268	2
	0.015200	9.0000	2.11416984	2.1142	1.6697	3.8170	3.3136	0.596	0.455	0.667	0.108	3.27532935	2
	0.015200	9.0000	2.11433244	2.1143	1.6668	3.8059	3.2721	0.603	0.463	0.696	0.089	3.27533746	2
	0.015200	9.0000	2.11453104	2.1145	1.6606	3.7951	3.2350	0.618	0.481	0.736	0.078	3.27534723	2
	0.015200	9.0000	2.11480093	2.1148	1.6487	3.7840	3.2024	0.648	0.512	0.794	0.078	3.27536058	2
	0.015200	9.0000	2.11513996	2.1151	1.6283	3.7726	3.1773	0.699	0.570	0.879	0.105	3.27537751	2
	0.015200	9.0000	2.11543083	2.1154	1.6057	3.7638	3.1650	0.756	0.635	0.963	0.149	3.27539182	2
	0.015200	9.0000	2.11573792	2.1157	1.5756	3.7551	3.1603	0.831	0.720	1.066	0.214	3.27540684	2
	0.015200	9.0000	2.11600256	2.1160	1.5447	3.7478	3.1621	0.908	0.807	1.167	0.284	3.27541995	2
